Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WM6,NO,31/07/2016 00:00,118.8,ug m-3,R
WM6,NO,01/08/2016 00:00,173.3,ug m-3,R
WM6,NO,02/08/2016 00:00,158.7,ug m-3,R
WM6,NO,03/08/2016 00:00,147.60001,ug m-3,R
WM6,NO,04/08/2016 00:00,174.89999,ug m-3,R
WM6,NO,05/08/2016 00:00,183.2,ug m-3,R
WM6,NO,06/08/2016 00:00,138.60001,ug m-3,R
WM6,NO,07/08/2016 00:00,103.6,ug m-3,R
WM6,NO,08/08/2016 00:00,141,ug m-3,R
WM6,NO,09/08/2016 00:00,132.60001,ug m-3,R
WM6,NO,10/08/2016 00:00,162,ug m-3,R
WM6,NO,11/08/2016 00:00,211.60001,ug m-3,R
WM6,NO,12/08/2016 00:00,193.60001,ug m-3,R
WM6,NO,13/08/2016 00:00,148.89999,ug m-3,R
WM6,NO,14/08/2016 00:00,36.5,ug m-3,R
WM6,NO,15/08/2016 00:00,109.2,ug m-3,R
WM6,NO,16/08/2016 00:00,94.9,ug m-3,R
WM6,NO,17/08/2016 00:00,85.2,ug m-3,R
WM6,NO,18/08/2016 00:00,107.8,ug m-3,R
WM6,NO,19/08/2016 00:00,114.5,ug m-3,R
WM6,NO,20/08/2016 00:00,53.7,ug m-3,R
WM6,NO,21/08/2016 00:00,56.3,ug m-3,R
WM6,NO,22/08/2016 00:00,137.3,ug m-3,R
WM6,NO,23/08/2016 00:00,181.5,ug m-3,R
WM6,NO,24/08/2016 00:00,141.7,ug m-3,R
WM6,NO,25/08/2016 00:00,102.6,ug m-3,R
WM6,NO,26/08/2016 00:00,123.8,ug m-3,R
WM6,NO,27/08/2016 00:00,91.9,ug m-3,R
WM6,NO,28/08/2016 00:00,105.6,ug m-3,R
WM6,NO,29/08/2016 00:00,81.1,ug m-3,R
WM6,NO,30/08/2016 00:00,151.60001,ug m-3,R
WM6,NO,31/08/2016 00:00,196,ug m-3,R
WM6,NO,01/09/2016 00:00,160.10001,ug m-3,R
WM6,NO,02/09/2016 00:00,144.60001,ug m-3,R
WM6,NO,03/09/2016 00:00,112.3,ug m-3,R
WM6,NO,04/09/2016 00:00,119.4,ug m-3,R
WM6,NO,05/09/2016 00:00,168.2,ug m-3,R
WM6,NO,06/09/2016 00:00,147.5,ug m-3,R
WM6,NO,07/09/2016 00:00,149,ug m-3,R
WM6,NO,08/09/2016 00:00,165,ug m-3,R
WM6,NO,09/09/2016 00:00,97.3,ug m-3,R
WM6,NO,10/09/2016 00:00,113.3,ug m-3,R
WM6,NO,11/09/2016 00:00,109.8,ug m-3,R
WM6,NO,12/09/2016 00:00,116.9,ug m-3,R
WM6,NO,13/09/2016 00:00,96.1,ug m-3,R
WM6,NO,14/09/2016 00:00,108.2,ug m-3,R
WM6,NO,15/09/2016 00:00,84.4,ug m-3,R
WM6,NO,16/09/2016 00:00,114.5,ug m-3,R
WM6,NO,17/09/2016 00:00,57.6,ug m-3,R
WM6,NO,18/09/2016 00:00,64,ug m-3,R
WM6,NO,19/09/2016 00:00,136.3,ug m-3,R
WM6,NO,20/09/2016 00:00,62.3,ug m-3,R
WM6,NO,21/09/2016 00:00,120.8,ug m-3,R
WM6,NO,22/09/2016 00:00,142.5,ug m-3,R
WM6,NO,23/09/2016 00:00,136,ug m-3,R
WM6,NO,24/09/2016 00:00,77.2,ug m-3,R
WM6,NO,25/09/2016 00:00,91.4,ug m-3,R
WM6,NO,26/09/2016 00:00,123.8,ug m-3,R
WM6,NO,27/09/2016 00:00,109.7,ug m-3,R
WM6,NO,28/09/2016 00:00,123,ug m-3,R
WM6,NO,29/09/2016 00:00,159.3,ug m-3,R
WM6,NO,30/09/2016 00:00,132.2,ug m-3,R
WM6,NO,01/10/2016 00:00,160.60001,ug m-3,R
WM6,NO,02/10/2016 00:00,79.1,ug m-3,R
WM6,NO,03/10/2016 00:00,174.10001,ug m-3,R
WM6,NO,04/10/2016 00:00,75.9,ug m-3,R
WM6,NO,05/10/2016 00:00,55.7,ug m-3,R
WM6,NO,06/10/2016 00:00,37.4,ug m-3,R
WM6,NO,07/10/2016 00:00,39.2,ug m-3,R
WM6,NO,08/10/2016 00:00,43.8,ug m-3,R
WM6,NO,09/10/2016 00:00,28.2,ug m-3,R
WM6,NO,10/10/2016 00:00,58.5,ug m-3,R
WM6,NO,11/10/2016 00:00,53.6,ug m-3,R
WM6,NO,12/10/2016 00:00,31.7,ug m-3,R
WM6,NO,13/10/2016 00:00,55.6,ug m-3,R
WM6,NO,14/10/2016 00:00,67.1,ug m-3,R
WM6,NO,15/10/2016 00:00,128.2,ug m-3,R
WM6,NO,16/10/2016 00:00,74.3,ug m-3,R
WM6,NO,17/10/2016 00:00,122.4,ug m-3,R
WM6,NO,18/10/2016 00:00,169.2,ug m-3,R
WM6,NO,19/10/2016 00:00,146.7,ug m-3,R
WM6,NO,20/10/2016 00:00,58,ug m-3,R
WM6,NO,21/10/2016 00:00,56.6,ug m-3,R
WM6,NO,22/10/2016 00:00,40.2,ug m-3,R
WM6,NO,23/10/2016 00:00,29.6,ug m-3,R
WM6,NO,24/10/2016 00:00,44,ug m-3,R
WM6,NO,25/10/2016 00:00,134.60001,ug m-3,R
WM6,NO,26/10/2016 00:00,170,ug m-3,R
WM6,NO,27/10/2016 00:00,150.5,ug m-3,R
WM6,NO,28/10/2016 00:00,136.2,ug m-3,R
WM6,NO,29/10/2016 00:00,205.10001,ug m-3,R
WM6,NO,30/10/2016 00:00,146.39999,ug m-3,R
WM6,NO,31/10/2016 00:00,211.10001,ug m-3,R
WM6,NO,01/11/2016 00:00,176.10001,ug m-3,R
WM6,NO,02/11/2016 00:00,180.10001,ug m-3,R
WM6,NO,03/11/2016 00:00,218.5,ug m-3,R
WM6,NO,04/11/2016 00:00,164.89999,ug m-3,R
WM6,NO,05/11/2016 00:00,140.60001,ug m-3,R
WM6,NO,06/11/2016 00:00,47.5,ug m-3,R
WM6,NO,07/11/2016 00:00,60.3,ug m-3,R
WM6,NO,08/11/2016 00:00,219.7,ug m-3,R
WM6,NO,09/11/2016 00:00,215.10001,ug m-3,R
WM6,NO,10/11/2016 00:00,248,ug m-3,R
WM6,NO,11/11/2016 00:00,177.8,ug m-3,R
WM6,NO,12/11/2016 00:00,173.3,ug m-3,R
WM6,NO,13/11/2016 00:00,108.8,ug m-3,R
WM6,NO,14/11/2016 00:00,237,ug m-3,R
WM6,NO,15/11/2016 00:00,239.39999,ug m-3,R
WM6,NO,16/11/2016 00:00,197.5,ug m-3,R
WM6,NO,17/11/2016 00:00,137.89999,ug m-3,R
WM6,NO,18/11/2016 00:00,175.7,ug m-3,R
WM6,NO,19/11/2016 00:00,119.8,ug m-3,R
WM6,NO,20/11/2016 00:00,97.5,ug m-3,R
WM6,NO,21/11/2016 00:00,96,ug m-3,R
WM6,NO,22/11/2016 00:00,93.8,ug m-3,R
WM6,NO,23/11/2016 00:00,63.6,ug m-3,R
WM6,NO,24/11/2016 00:00,15.5,ug m-3,R
WM6,NO,25/11/2016 00:00,18.7,ug m-3,R
WM6,NO,26/11/2016 00:00,49.1,ug m-3,R
WM6,NO,27/11/2016 00:00,18.2,ug m-3,R
WM6,NO,28/11/2016 00:00,53.3,ug m-3,R
WM6,NO,29/11/2016 00:00,137.3,ug m-3,R
WM6,NO,30/11/2016 00:00,438.70001,ug m-3,R
WM6,NO,01/12/2016 00:00,315,ug m-3,R
WM6,NO,02/12/2016 00:00,167.3,ug m-3,R
WM6,NO,03/12/2016 00:00,23.2,ug m-3,R
WM6,NO,04/12/2016 00:00,48.6,ug m-3,R
WM6,NO,05/12/2016 00:00,161.10001,ug m-3,R
WM6,NO,06/12/2016 00:00,241.5,ug m-3,R
WM6,NO,07/12/2016 00:00,129.39999,ug m-3,R
WM6,NO,08/12/2016 00:00,139.89999,ug m-3,R
WM6,NO,09/12/2016 00:00,117.4,ug m-3,R
WM6,NO,10/12/2016 00:00,125.3,ug m-3,R
WM6,NO,11/12/2016 00:00,157,ug m-3,R
WM6,NO,12/12/2016 00:00,162.8,ug m-3,R
WM6,NO,13/12/2016 00:00,130.2,ug m-3,R
WM6,NO,14/12/2016 00:00,173.60001,ug m-3,R
WM6,NO,15/12/2016 00:00,182,ug m-3,R
WM6,NO,16/12/2016 00:00,193.39999,ug m-3,R
WM6,NO,17/12/2016 00:00,204.7,ug m-3,R
WM6,NO,18/12/2016 00:00,154.5,ug m-3,R
WM6,NO,19/12/2016 00:00,129.10001,ug m-3,R
WM6,NO,20/12/2016 00:00,142,ug m-3,R
WM6,NO,21/12/2016 00:00,147.39999,ug m-3,R
WM6,NO,22/12/2016 00:00,211.89999,ug m-3,R
WM6,NO,23/12/2016 00:00,127.7,ug m-3,R
WM6,NO,24/12/2016 00:00,135.10001,ug m-3,R
WM6,NO,25/12/2016 00:00,21.5,ug m-3,R
WM6,NO,26/12/2016 00:00,160.5,ug m-3,R
WM6,NO,27/12/2016 00:00,214.60001,ug m-3,R
WM6,NO,28/12/2016 00:00,250.60001,ug m-3,R
WM6,NO,29/12/2016 00:00,248.3,ug m-3,R
WM6,NO,30/12/2016 00:00,219.7,ug m-3,R
WM6,NO,31/12/2016 00:00,159.10001,ug m-3,R
WM6,NO,01/01/2017 00:00,66.8,ug m-3,R
WM6,NO,02/01/2017 00:00,93.1,ug m-3,R
WM6,NO,03/01/2017 00:00,230.2,ug m-3,R
WM6,NO,04/01/2017 00:00,116.9,ug m-3,R
WM6,NO,05/01/2017 00:00,197.8,ug m-3,R
WM6,NO,06/01/2017 00:00,191.60001,ug m-3,R
WM6,NO,07/01/2017 00:00,173.60001,ug m-3,R
WM6,NO,08/01/2017 00:00,145.5,ug m-3,R
WM6,NO,09/01/2017 00:00,102,ug m-3,R
WM6,NO,10/01/2017 00:00,184.60001,ug m-3,R
WM6,NO,11/01/2017 00:00,168.2,ug m-3,R
WM6,NO,12/01/2017 00:00,108.7,ug m-3,R
WM6,NO,13/01/2017 00:00,139.2,ug m-3,R
WM6,NO,14/01/2017 00:00,201.5,ug m-3,R
WM6,NO,15/01/2017 00:00,130,ug m-3,R
WM6,NO,16/01/2017 00:00,138.89999,ug m-3,R
WM6,NO,17/01/2017 00:00,163.3,ug m-3,R
WM6,NO,18/01/2017 00:00,169.2,ug m-3,R
WM6,NO,19/01/2017 00:00,107.1,ug m-3,R
WM6,NO,20/01/2017 00:00,91.5,ug m-3,R
WM6,NO,21/01/2017 00:00,160.39999,ug m-3,R
WM6,NO,22/01/2017 00:00,222.10001,ug m-3,R
WM6,NO,23/01/2017 00:00,328.89999,ug m-3,R
WM6,NO,24/01/2017 00:00,228.60001,ug m-3,R
WM6,NO,25/01/2017 00:00,174.89999,ug m-3,R
WM6,NO,26/01/2017 00:00,127,ug m-3,R
WM6,NO,27/01/2017 00:00,165.7,ug m-3,R
WM6,NO,28/01/2017 00:00,132.7,ug m-3,R
WM6,NO,29/01/2017 00:00,66,ug m-3,R
WM6,NO,30/01/2017 00:00,84.2,ug m-3,R
WM6,NO,31/01/2017 00:00,121.5,ug m-3,R
WM6,NO,01/02/2017 00:00,107.3,ug m-3,R
WM6,NO,02/02/2017 00:00,65.4,ug m-3,R
WM6,NO,03/02/2017 00:00,85,ug m-3,R
WM6,NO,04/02/2017 00:00,139.5,ug m-3,R
WM6,NO,05/02/2017 00:00,63.8,ug m-3,R
WM6,NO,06/02/2017 00:00,163.8,ug m-3,R
WM6,NO,07/02/2017 00:00,112.7,ug m-3,R
WM6,NO,08/02/2017 00:00,50,ug m-3,R
WM6,NO,09/02/2017 00:00,33.2,ug m-3,R
WM6,NO,10/02/2017 00:00,40.7,ug m-3,R
WM6,NO,11/02/2017 00:00,38.5,ug m-3,R
WM6,NO,12/02/2017 00:00,34.6,ug m-3,R
WM6,NO,13/02/2017 00:00,74.6,ug m-3,R
WM6,NO,14/02/2017 00:00,140.89999,ug m-3,R
WM6,NO,15/02/2017 00:00,137.10001,ug m-3,R
WM6,NO,16/02/2017 00:00,163.39999,ug m-3,R
WM6,NO,17/02/2017 00:00,161.8,ug m-3,R
WM6,NO,18/02/2017 00:00,119.4,ug m-3,R
WM6,NO,19/02/2017 00:00,113.6,ug m-3,R
WM6,NO,20/02/2017 00:00,196.3,ug m-3,R
WM6,NO,21/02/2017 00:00,220.2,ug m-3,R
WM6,NO,22/02/2017 00:00,182.8,ug m-3,R
WM6,NO,23/02/2017 00:00,114.9,ug m-3,R
WM6,NO,24/02/2017 00:00,144.39999,ug m-3,R
WM6,NO,25/02/2017 00:00,90.6,ug m-3,R
WM6,NO,26/02/2017 00:00,62.1,ug m-3,R
WM6,NO,27/02/2017 00:00,110.3,ug m-3,R
WM6,NO,28/02/2017 00:00,164.39999,ug m-3,R
WM6,NO,01/03/2017 00:00,131.3,ug m-3,R
WM6,NO,02/03/2017 00:00,139.7,ug m-3,R
WM6,NO,03/03/2017 00:00,129.89999,ug m-3,R
WM6,NO,04/03/2017 00:00,102.2,ug m-3,R
WM6,NO,05/03/2017 00:00,81.1,ug m-3,R
WM6,NO,06/03/2017 00:00,62.12,ug m-3,R
WM6,NO,07/03/2017 00:00,62.12,ug m-3,R
WM6,NO,08/03/2017 00:00,153.10001,ug m-3,R
WM6,NO,09/03/2017 00:00,110.9,ug m-3,R
WM6,NO,10/03/2017 00:00,106.9,ug m-3,R
WM6,NO,11/03/2017 00:00,103.4,ug m-3,R
WM6,NO,12/03/2017 00:00,119.9,ug m-3,R
WM6,NO,13/03/2017 00:00,124.9,ug m-3,R
WM6,NO,14/03/2017 00:00,165.3,ug m-3,R
WM6,NO,15/03/2017 00:00,170.89999,ug m-3,R
WM6,NO,16/03/2017 00:00,185.60001,ug m-3,R
WM6,NO,17/03/2017 00:00,153.89999,ug m-3,R
WM6,NO,18/03/2017 00:00,116.6,ug m-3,R
WM6,NO,19/03/2017 00:00,86.4,ug m-3,R
WM6,NO,20/03/2017 00:00,115.2,ug m-3,R
WM6,NO,21/03/2017 00:00,124.9,ug m-3,R
WM6,NO,22/03/2017 00:00,95.5,ug m-3,R
WM6,NO,23/03/2017 00:00,28.6,ug m-3,R
WM6,NO,24/03/2017 00:00,33.5,ug m-3,R
WM6,NO,25/03/2017 00:00,19.9,ug m-3,R
WM6,NO,26/03/2017 00:00,25.2,ug m-3,R
WM6,NO,27/03/2017 00:00,67.9,ug m-3,R
WM6,NO,28/03/2017 00:00,133.2,ug m-3,R
WM6,NO,29/03/2017 00:00,88.8,ug m-3,R
WM6,NO,30/03/2017 00:00,100.9,ug m-3,R
WM6,NO,31/03/2017 00:00,113.2,ug m-3,R
WM6,NO,01/04/2017 00:00,51.6,ug m-3,R
WM6,NO,02/04/2017 00:00,50,ug m-3,R
WM6,NO,03/04/2017 00:00,145,ug m-3,R
WM6,NO,04/04/2017 00:00,71.7,ug m-3,R
WM6,NO,05/04/2017 00:00,68.5,ug m-3,R
WM6,NO,06/04/2017 00:00,121.9,ug m-3,R
WM6,NO,07/04/2017 00:00,71.1,ug m-3,R
